category,n_features,n,prop
764,0,271280,0.905271518051704
764,1,26672,0.0890054627302973
764,2,1636,0.0054593932598517685
764,3,63,2.1023335902852167e-4
764,4,16,5.3392599118354706e-5
terrorgram,0,89895,0.7913152937448285
terrorgram,1,18468,0.16256756043027412
terrorgram,2,3617,0.031839228182602416
terrorgram,3,1321,0.01162831640288023
terrorgram,4,301,0.002649601239414799
white-supremacist,0,265132,0.8067526571547676
white-supremacist,1,53194,0.16186051040497076
white-supremacist,2,8856,0.02694733767241458
white-supremacist,3,1254,0.0038157138032077556
white-supremacist,4,205,6.237809646392263e-4
