category,theme,n,prop,feature
764,Antisemitism,7,0.045454545454545456,Identity Fusion
764,CSAM/Exploitation,106,0.6883116883116883,Identity Fusion
764,Non-English,3,0.01948051948051948,Identity Fusion
764,Other,18,0.11688311688311688,Identity Fusion
764,Racism/White Nationalism,20,0.12987012987012986,Identity Fusion
terrorgram,Accelerationism,23,0.045275590551181105,Identity Fusion
terrorgram,Antisemitism,105,0.20669291338582677,Identity Fusion
terrorgram,Firearms/Weapons,16,0.031496062992125984,Identity Fusion
terrorgram,Fitness/Combat Sports,3,0.005905511811023622,Identity Fusion
terrorgram,Non-English,34,0.06692913385826772,Identity Fusion
terrorgram,Occult/Pagan,17,0.03346456692913386,Identity Fusion
terrorgram,Other,54,0.1062992125984252,Identity Fusion
terrorgram,Propaganda,29,0.05708661417322835,Identity Fusion
terrorgram,Racism/White Nationalism,227,0.4468503937007874,Identity Fusion
white-supremacist,Antisemitism,348,0.31693989071038253,Identity Fusion
white-supremacist,Appearance,13,0.011839708561020037,Identity Fusion
white-supremacist,Firearms/Weapons,16,0.014571948998178506,Identity Fusion
white-supremacist,Fitness/Combat Sports,6,0.00546448087431694,Identity Fusion
white-supremacist,Non-English,6,0.00546448087431694,Identity Fusion
white-supremacist,Occult/Pagan,61,0.05555555555555555,Identity Fusion
white-supremacist,Other,297,0.27049180327868855,Identity Fusion
white-supremacist,Racism/White Nationalism,348,0.31693989071038253,Identity Fusion
white-supremacist,Survivalism/Outdoors,3,0.00273224043715847,Identity Fusion
764,Antisemitism,81,0.024057024057024055,Violence Condoning
764,CSAM/Exploitation,3006,0.8927828927828928,Violence Condoning
764,Gaming,3,8.91000891000891e-4,Violence Condoning
764,Non-English,9,0.002673002673002673,Violence Condoning
764,Other,139,0.041283041283041284,Violence Condoning
764,Racism/White Nationalism,129,0.03831303831303831,Violence Condoning
terrorgram,Accelerationism,206,0.0604992657856094,Violence Condoning
terrorgram,Antisemitism,1188,0.34889867841409694,Violence Condoning
terrorgram,Firearms/Weapons,274,0.08046989720998532,Violence Condoning
terrorgram,Fitness/Combat Sports,23,0.006754772393538913,Violence Condoning
terrorgram,Non-English,105,0.030837004405286344,Violence Condoning
terrorgram,Occult/Pagan,39,0.01145374449339207,Violence Condoning
terrorgram,Other,815,0.2393538913362702,Violence Condoning
terrorgram,Propaganda,75,0.022026431718061675,Violence Condoning
terrorgram,Racism/White Nationalism,680,0.19970631424375918,Violence Condoning
white-supremacist,Accelerationism,17,0.0014964788732394366,Violence Condoning
white-supremacist,Antisemitism,3163,0.2784330985915493,Violence Condoning
white-supremacist,Appearance,261,0.022975352112676057,Violence Condoning
white-supremacist,Firearms/Weapons,792,0.06971830985915493,Violence Condoning
white-supremacist,Fitness/Combat Sports,100,0.008802816901408451,Violence Condoning
white-supremacist,Non-English,32,0.0028169014084507044,Violence Condoning
white-supremacist,Occult/Pagan,225,0.019806338028169015,Violence Condoning
white-supremacist,Other,3448,0.30352112676056336,Violence Condoning
white-supremacist,Racism/White Nationalism,3163,0.2784330985915493,Violence Condoning
white-supremacist,Survivalism/Outdoors,159,0.013996478873239437,Violence Condoning
764,Antisemitism,8,0.09411764705882353,Existential Threat
764,CSAM/Exploitation,47,0.5529411764705883,Existential Threat
764,Non-English,1,0.011764705882352941,Existential Threat
764,Other,4,0.047058823529411764,Existential Threat
764,Racism/White Nationalism,25,0.29411764705882354,Existential Threat
terrorgram,Accelerationism,52,0.0323785803237858,Existential Threat
terrorgram,Antisemitism,681,0.42403486924034867,Existential Threat
terrorgram,Firearms/Weapons,10,0.0062266500622665,Existential Threat
