dcm_group,topic,label,n,prop,feature,category
DCM+,0,Expletive Chat/CSAM,96,0.6233766233766234,Identity Fusion,764
DCM+,1,Platform Administration,12,0.07792207792207792,Identity Fusion,764
DCM+,2,Race/Ethnicity,20,0.12987012987012986,Identity Fusion,764
DCM+,3,Money/Banking,2,0.012987012987012988,Identity Fusion,764
DCM+,4,Extortion/Leaking,3,0.01948051948051948,Identity Fusion,764
DCM+,6,Doxxing/Trolling,7,0.045454545454545456,Identity Fusion,764
DCM+,7,Religion,7,0.045454545454545456,Identity Fusion,764
DCM+,10,Time/Dates,1,0.006493506493506494,Identity Fusion,764
DCM+,12,Lore/Storytelling,2,0.012987012987012988,Identity Fusion,764
DCM+,15,Statistics/Demographics,1,0.006493506493506494,Identity Fusion,764
DCM+,16,Non-English (German/Dutch),3,0.01948051948051948,Identity Fusion,764
DCM-,0,Expletive Chat/CSAM,158660,0.7480151620872386,Identity Fusion,764
DCM-,1,Platform Administration,16005,0.07545684274049069,Identity Fusion,764
DCM-,2,Race/Ethnicity,7388,0.0348313123503121,Identity Fusion,764
DCM-,3,Money/Banking,6677,0.031479246421634265,Identity Fusion,764
DCM-,4,Extortion/Leaking,3655,0.01723178757991212,Identity Fusion,764
DCM-,5,Media Sharing,3641,0.017165783468798913,Identity Fusion,764
DCM-,6,Doxxing/Trolling,3444,0.016237011333848795,Identity Fusion,764
DCM-,7,Religion,2897,0.013658136421068513,Identity Fusion,764
DCM-,8,Food/Drinks,2748,0.012955664095649386,Identity Fusion,764
DCM-,9,Gaming,2463,0.011612008976559111,Identity Fusion,764
DCM-,10,Time/Dates,1237,0.005831934674788315,Identity Fusion,764
DCM-,11,Gore/Illegal Content,656,0.0030927640635902464,Identity Fusion,764
DCM-,12,Lore/Storytelling,635,0.002993757896920437,Identity Fusion,764
DCM-,13,Subculture/Conspiracy,462,0.002178135666735814,Identity Fusion,764
DCM-,14,Usernames/Players,395,0.0018622588492654686,Identity Fusion,764
DCM-,15,Statistics/Demographics,415,0.0019565504365700493,Identity Fusion,764
DCM-,16,Non-English (German/Dutch),368,0.0017349652064042847,Identity Fusion,764
DCM-,17,OPSEC/OSINT,253,0.0011927885794029457,Identity Fusion,764
DCM-,18,Appearance Discussion,109,5.138891508099648e-4,Identity Fusion,764
DCM+,0,Expletive Chat,43,0.08464566929133858,Identity Fusion,terrorgram
DCM+,1,Antisemitism/Jews,105,0.20669291338582677,Identity Fusion,terrorgram
DCM+,2,White Nationalism/Russia-Ukraine,223,0.4389763779527559,Identity Fusion,terrorgram
DCM+,3,Media Sharing,8,0.015748031496062992,Identity Fusion,terrorgram
DCM+,4,Guns/Violence,16,0.031496062992125984,Identity Fusion,terrorgram
DCM+,5,Animals/Nature,3,0.005905511811023622,Identity Fusion,terrorgram
DCM+,6,Raw Diet/Health,3,0.005905511811023622,Identity Fusion,terrorgram
DCM+,7,Paganism/Satanism,17,0.03346456692913386,Identity Fusion,terrorgram
DCM+,8,Mental Health/Intelligence,8,0.015748031496062992,Identity Fusion,terrorgram
DCM+,9,Non-English (Spanish/Italian),34,0.06692913385826772,Identity Fusion,terrorgram
DCM+,10,Saints/Martyrs,21,0.04133858267716536,Identity Fusion,terrorgram
DCM+,11,Propaganda Documentary,15,0.02952755905511811,Identity Fusion,terrorgram
DCM+,12,Propaganda Materials,6,0.011811023622047244,Identity Fusion,terrorgram
DCM+,14,Accelerationism,1,0.001968503937007874,Identity Fusion,terrorgram
DCM+,16,Numbers/Nazi Numerology,4,0.007874015748031496,Identity Fusion,terrorgram
DCM+,17,Infrastructure (Physical/Digital),1,0.001968503937007874,Identity Fusion,terrorgram
DCM-,0,Expletive Chat,26618,0.39916621678363623,Identity Fusion,terrorgram
DCM-,1,Antisemitism/Jews,9924,0.14882130646032032,Identity Fusion,terrorgram
DCM-,2,White Nationalism/Russia-Ukraine,6859,0.10285825685321816,Identity Fusion,terrorgram
DCM-,3,Media Sharing,3666,0.054975706316357745,Identity Fusion,terrorgram
DCM-,4,Guns/Violence,2838,0.04255893467698398,Identity Fusion,terrorgram
DCM-,5,Animals/Nature,2746,0.041179293383720235,Identity Fusion,terrorgram
DCM-,6,Raw Diet/Health,2227,0.03339631695759103,Identity Fusion,terrorgram
DCM-,7,Paganism/Satanism,2016,0.03023213964369264,Identity Fusion,terrorgram
DCM-,8,Mental Health/Intelligence,1958,0.029362365784895927,Identity Fusion,terrorgram
DCM-,9,Non-English (Spanish/Italian),1623,0.024338671945294224,Identity Fusion,terrorgram
