channel,category
"764 announcements",764
"ANTI-SYSTEM AKTION",
"Aryan Compartmented Elements (ACE)",terrorgram
"BlackFeet.com",terrorgram
"Bowl Tards",terrorgram
"BowlTurdsCoin Investing OFFICIAL",terrorgram
"Christos 333",O9A
"Cole Wolfsson Chat",terrorgram
"ECODEFENSE CHAT",terrorgram
"Eco Krieg Discussions",accelerationist
"Europa Activism - Discussion",terrorgram
"Glock and ball torture",terrorgram
"Green River Proud Boys",proud-boys
"HARM NATION",764
"INNER BALLUS SACTUMIUS III",terrorgram
"Kill all Jews",white-supremacist
"Leak Society",764
"MAWA_THREE_CHAT",
"NATIONAL ANARCHIST ECOPOSTING X",terrorgram
"NEW LEFT NOW",
"NRN Chat",terrorgram
"NYTHRA ATAZOTH ARANYAKA 👌3🙏2👁1",terrorgram-affiliated
"Nancy Pelosi Under The Sea",terrorgram
"Noctulian Central 3.3.3",764
"North 'Bama Brigade chat",white-supremacist
"Official Cape Fear Proud Boys",proud-boys
"PAWG Chat",terrorgram
"PAWG/ASA Operator chat",terrorgram
"PNWG (fan cult) Chat",terrorgram
"Primal Aryan Warlord Gang",terrorgram
"RAHOWA Warlords",terrorgram
"RCNC: Public Chat",white-supremacist
"Report a Pedophile Tip Line (tips only)",
"Roman Wolf",the-base
"Shitposting fam",white-supremacist
"Sinister Nancy Reborn",terrorgram
"THE FUCKING HATECHAT",terrorgram-affiliated
"THE LASERWAFFEN RECRUIT DEPOT⚡️⚡️",white-supremacist
"TeufelsReich",terrorgram-affiliated
"Teufelsreich",terrorgram-affiliated
"Teufelsreich GC",terrorgram-affiliated
"The Archive",
"Total Acceleration",terrorgram
"UTANGARD AUFSTAND",white-supremacist
"Wagie Support Group",
"Wehrwolf Dynamics Chat",white-supremacist
"Whatchadoinjews comments",white-supremacist
"Z-Cell",terrorgram-affiliated
"Z-Cell Network 🔱🩸",terrorgram-affiliated
"ᛉ Race First ᛉ",white-supremacist
"⚙️🌲JÉRÉMY'S BUNKER🌲⚙️",terrorgram
"𝖀𝖓𝖈𝖑𝖊 𝕿𝖊𝖉'𝖘 𝕮𝖆𝖇𝖎𝖓 (Rest in Power, Ted)🌲",terrorgram
"𝖀𝖓𝖈𝖑𝖊 𝕿𝖊𝖉'𝖘 𝕮𝖆𝖇𝖎𝖓 -🌲",terrorgram
"𝙒𝙇𝙈𝙊𝙉𝘼 ᛣ",
"𝟑𝟏𝟗 chat",white-supremacist
"🌲 𝖀𝖓𝖈𝖑𝖊 𝕿𝖊𝖉'𝖘 𝕮𝖆𝖇𝖎𝖓 🌲",terrorgram
"🌲𝖀𝖓𝖈𝖑𝖊 𝕿𝖊𝖉'𝖘 𝕮𝖆𝖇𝖎𝖓🌲",terrorgram
"📭 Green Solvtion 📭",accelerationist
