feature,category,n,k,prev,ci_lo,ci_hi
Identity Fusion,764,299708,221,7.373843874704713e-4,6.463917177775161e-4,8.41175328791617e-4
Identity Fusion,terrorgram,113624,967,0.00851052594522284,0.007992776888549713,0.009061506937857199
Identity Fusion,white-supremacist,328701,1402,0.0042652745200045025,0.004048205418546958,0.004493930579083162
Violence Condoning,764,299793,5065,0.01689499087703849,0.01643980771817173,0.01736255460662498
Violence Condoning,terrorgram,113654,5820,0.05120805251025041,0.04994167723241304,0.0525047647320806
Violence Condoning,white-supremacist,328737,14711,0.04475005855744866,0.04404859079693273,0.045462165847238875
Existential Threat,764,299775,140,4.670169293636894e-4,3.958121749305329e-4,5.510240241802177e-4
Existential Threat,terrorgram,113647,2607,0.022939452867211628,0.02208503814049498,0.02382611739381123
Existential Threat,white-supremacist,328715,2507,0.0076266674779063934,0.007334965924187321,0.007929876932255059
Outgroup Othering,764,299797,24804,0.0827359846829688,0.08175520515165562,0.08372745732991434
Outgroup Othering,terrorgram,113661,21489,0.18906221131258744,0.18679638695922518,0.1913490528018681
Outgroup Othering,white-supremacist,328737,56884,0.17303802127536602,0.17174872829551138,0.17433495559951875
