topic,label,n_dcm_pos,n_dcm_neg,prop_pos,prop_neg,log_odds,feature,category
0,Expletive Chat/CSAM,96,158660,0.6225806451612903,0.7480139928055858,-0.1835485143510129,Identity Fusion,764
1,Platform Administration,12,16005,0.08064516129032258,0.07545884427346317,0.0664714077028232,Identity Fusion,764
2,Race/Ethnicity,20,7388,0.13225806451612904,0.034833505414668876,1.3341753253486646,Identity Fusion,764
3,Money/Banking,2,6677,0.016129032258064516,0.03148145528949738,-0.6687777575619702,Identity Fusion,764
4,Extortion/Leaking,3,3655,0.02258064516129032,0.01723406361823402,0.2702052623099882,Identity Fusion,764
5,Media Sharing,0,3641,0.0032258064516129032,0.017168059818300968,-1.6718676886699244,Identity Fusion,764
6,Doxxing/Trolling,7,3444,0.04838709677419355,0.016239292062100147,1.091799441057005,Identity Fusion,764
7,Religion,7,2897,0.04838709677419355,0.013660429307572993,1.2647299008763488,Identity Fusion,764
8,Food/Drinks,0,2748,0.0032258064516129032,0.012957960293999784,-1.3905273123126696,Identity Fusion,764
9,Gaming,0,2463,0.0032258064516129032,0.011614311509648341,-1.2810551069959724,Identity Fusion,764
10,Time/Dates,1,1237,0.00967741935483871,0.0058342644583681035,0.5060470692133099,Identity Fusion,764
11,Gore/Illegal Content,0,656,0.0032258064516129032,0.003095106761146392,0.041360581245194546,Identity Fusion,764
12,Lore/Storytelling,2,635,0.016129032258064516,0.0029961010612468116,1.6833090967926372,Identity Fusion,764
13,Subculture/Conspiracy,0,462,0.0032258064516129032,0.002180482676359796,0.39163671803556566,Identity Fusion,764
14,Usernames/Players,0,395,0.0032258064516129032,0.0018646073481087555,0.548132487780337,Identity Fusion,764
15,Statistics/Demographics,1,415,0.00967741935483871,0.00195889849087026,1.5974129493606524,Identity Fusion,764
16,Non-English (German/Dutch),3,368,0.02258064516129032,0.001737314305380724,2.5647527124139673,Identity Fusion,764
17,OPSEC/OSINT,0,253,0.0032258064516129032,0.001195140234502072,0.9929194519568078,Identity Fusion,764
18,Appearance Discussion,0,109,0.0032258064516129032,5.162440066192383e-4,1.83235872573149,Identity Fusion,764
0,Expletive Chat,43,26618,0.08546168958742632,0.3991677288745595,-1.541313501150782,Identity Fusion,terrorgram
1,Antisemitism/Jews,105,9924,0.20726915520628683,0.14882657269250957,0.3312365289694609,Identity Fusion,terrorgram
2,White Nationalism/Russia-Ukraine,223,6859,0.43909626719056977,0.10286421234160606,1.4513088847933762,Identity Fusion,terrorgram
3,Media Sharing,8,3666,0.01669941060903733,0.054982379845542474,-1.1916393415316113,Identity Fusion,terrorgram
4,Guns/Violence,16,2838,0.03241650294695481,0.0425657944065382,-0.27238333919827384,Identity Fusion,terrorgram
5,Animals/Nature,3,2746,0.0068762278978389,0.04118617380220439,-1.790032381781335,Identity Fusion,terrorgram
6,Raw Diet/Health,3,2227,0.0068762278978389,0.03340331408862563,-1.5805848883436242,Identity Fusion,terrorgram
7,Paganism/Satanism,17,2016,0.0343811394891945,0.030239184224338307,0.1283695691220178,Identity Fusion,terrorgram
8,Mental Health/Intelligence,8,1958,0.01669941060903733,0.029369423408562644,-0.564580687103643,Identity Fusion,terrorgram
9,Non-English (Spanish/Italian),34,1623,0.06777996070726916,0.024345804903651496,1.0239070350003856,Identity Fusion,terrorgram
10,Saints/Martyrs,21,1701,0.04223968565815324,0.02551548324210842,0.5040747436986289,Identity Fusion,terrorgram
11,Propaganda Documentary,15,1606,0.030451866404715127,0.024090875009372424,0.23431414787525978,Identity Fusion,terrorgram
12,Propaganda Materials,6,1196,0.012770137524557957,0.017942565794406538,-0.3400664279408644,Identity Fusion,terrorgram
13,Social Media/Antisemitism,0,553,9.823182711198428e-4,0.008300217440203943,-2.1341216302026647,Identity Fusion,terrorgram
14,Accelerationism,1,417,0.0029469548133595285,0.0062607782859713575,-0.7535321336767735,Identity Fusion,terrorgram
15,Gaming,0,317,9.823182711198428e-4,0.004761190672565045,-1.5783376963867195,Identity Fusion,terrorgram
16,Numbers/Nazi Numerology,4,214,0.008840864440078585,0.003216615430756542,1.0110549609141746,Identity Fusion,terrorgram
17,Infrastructure (Physical/Digital),1,150,0.0029469548133595285,0.0022568793581765013,0.2667893264252062,Identity Fusion,terrorgram
18,Subcultural Identity,0,55,9.823182711198428e-4,8.322711254405039e-4,0.16575710119363796,Identity Fusion,terrorgram
0,Expletive Chat,119,61654,0.15912117177097204,0.3334351863369153,-0.7397825040615585,Identity Fusion,white-supremacist
1,Antisemitism/Racism,348,35297,0.4640479360852197,0.19089325985495412,0.8882734345131573,Identity Fusion,white-supremacist
2,Firearms/Weapons,16,20338,0.021970705725699067,0.10999313168241333,-1.61070791646768,Identity Fusion,white-supremacist
3,Animals/Wehrwolf,91,10361,0.1218375499334221,0.05603627769635546,0.7766893025001923,Identity Fusion,white-supremacist
4,Religious Ideology,61,9862,0.08189081225033289,0.05333762377843997,0.42874483285460124,Identity Fusion,white-supremacist
5,Vaccines/Health,14,8719,0.019307589880159785,0.04715613795042913,-0.8929659031867275,Identity Fusion,white-supremacist
6,Appearance/Aesthetics,13,7134,0.017976031957390146,0.03858426127729075,-0.7638051417299874,Identity Fusion,white-supremacist
7,Demographics/Heritage,29,6175,0.039280958721704395,0.03339787028073572,0.1622477566639638,Identity Fusion,white-supremacist
8,Generational Conflict,24,4917,0.03262316910785619,0.026594450183065,0.2043201904837259,Identity Fusion,white-supremacist
9,Law Enforcement,7,4846,0.009986684420772303,0.026210473373101072,-0.9649064301941391,Identity Fusion,white-supremacist
10,Fitness/Combat Sports,6,4894,0.008655126498002663,0.026470063329133025,-1.1178626046036348,Identity Fusion,white-supremacist
11,Survival/Outdoors,3,3817,0.004660452729693742,0.02064551369066612,-1.4883854454011607,Identity Fusion,white-supremacist
12,Age/Time Discussion,6,3764,0.008655126498002663,0.020358883114214174,-0.8553655291923269,Identity Fusion,white-supremacist
13,Education/Homeschool,7,1528,0.009986684420772303,0.008266317662392445,0.18906350240763445,Identity Fusion,white-supremacist
14,Technology/Devices,0,473,6.657789613848203e-4,0.0025607467537735185,-1.3470964699898194,Identity Fusion,white-supremacist
15,Non-English (Spanish/German),6,424,0.008655126498002663,0.0022957486736575683,1.3270927943464481,Identity Fusion,white-supremacist
16,Tactical Training/Slurs,0,423,6.657789613848203e-4,0.0022903405495735695,-1.2354980714557957,Identity Fusion,white-supremacist
17,Accelerationism,0,185,6.657789613848203e-4,0.0010032070175818113,-0.4099994394111763,Identity Fusion,white-supremacist
18,Channel-Specific,0,95,6.657789613848203e-4,5.164758500219029e-4,0.253929195149629,Identity Fusion,white-supremacist
0,Expletive Chat/CSAM,2831,155961,0.8407066508313539,0.7464201276884936,0.11895417364772812,Violence Condoning,764
1,Platform Administration,74,15948,0.02211995249406176,0.07632833363644195,-1.2385641855230438,Violence Condoning,764
2,Race/Ethnicity,129,7284,0.03845011876484561,0.03486307467001043,0.097933548040424,Violence Condoning,764
3,Money/Banking,36,6644,0.01083729216152019,0.03180008231791946,-1.0764757141882348,Violence Condoning,764
4,Extortion/Leaking,62,3596,0.018557007125890736,0.017212581241086215,0.07520687642982676,Violence Condoning,764
5,Media Sharing,41,3601,0.012321852731591448,0.017236510868836926,-0.33565552809788335,Violence Condoning,764
6,Doxxing/Trolling,49,3402,0.014697149643705464,0.01628411168435864,-0.10253631595609478,Violence Condoning,764
7,Religion,81,2824,0.02419833729216152,0.01351784671637648,0.582273132476382,Violence Condoning,764
8,Food/Drinks,11,2737,0.0034144893111638956,0.013101471193514114,-1.3446965897606702,Violence Condoning,764
9,Gaming,3,2460,0.0010391923990498812,0.011775769816124741,-2.427600142815783,Violence Condoning,764
10,Time/Dates,3,1236,0.0010391923990498812,0.005917796942750759,-1.7395203694712211,Violence Condoning,764
11,Gore/Illegal Content,23,633,0.006977434679334917,0.003031883836015047,0.8334971703838013,Violence Condoning,764
12,Lore/Storytelling,1,636,4.453681710213777e-4,0.0030462416126654734,-1.9227625608944148,Violence Condoning,764
13,Subculture/Conspiracy,3,459,0.0010391923990498812,0.0021991327902903144,-0.749619224305492,Violence Condoning,764
14,Usernames/Players,11,384,0.0034144893111638956,0.0018401883740296536,0.6181599954183876,Violence Condoning,764
15,Statistics/Demographics,0,416,1.484560570071259e-4,0.0019933379916342022,-2.5972768931719608,Violence Condoning,764
16,Non-English (German/Dutch),9,362,0.0028206650831353918,0.0017348980119265265,0.48602407330664743,Violence Condoning,764
17,OPSEC/OSINT,0,253,1.484560570071259e-4,0.001213232126961033,-2.100754254596301,Violence Condoning,764
18,Appearance Discussion,0,109,1.484560570071259e-4,5.240588477405646e-4,-1.261314980821619,Violence Condoning,764
0,Expletive Chat,694,25973,0.203904873752202,0.40702521429802707,-0.6912215551619766,Violence Condoning,terrorgram
1,Antisemitism/Jews,1117,8916,0.3280974750440399,0.1397285819503863,0.8536089037042826,Violence Condoning,terrorgram
2,White Nationalism/Russia-Ukraine,633,6449,0.18599530240751616,0.10106874774732422,0.6099204614651296,Violence Condoning,terrorgram
3,Media Sharing,18,3661,0.005431591309453905,0.05737859056931973,-2.3574390973077186,Violence Condoning,terrorgram
4,Guns/Violence,274,2582,0.08059307105108632,0.0404698102267563,0.6888564090649183,Violence Condoning,terrorgram
5,Animals/Nature,80,2670,0.023634762184380504,0.04184883957814239,-0.5713454662461809,Violence Condoning,terrorgram
6,Raw Diet/Health,23,2207,0.006899588960657663,0.034593264695281525,-1.612197162218875,Violence Condoning,terrorgram
7,Paganism/Satanism,39,1994,0.01159718144450969,0.03125538683340385,-0.9914296503292584,Violence Condoning,terrorgram
8,Mental Health/Intelligence,41,1926,0.012184380504991193,0.030189773243696424,-0.9073483877204329,Violence Condoning,terrorgram
9,Non-English (Spanish/Italian),105,1552,0.030974750440399296,0.02432889850030558,0.24150748821761395,Violence Condoning,terrorgram
10,Saints/Martyrs,168,1554,0.04947152084556665,0.024360240076473447,0.7084448694027344,Violence Condoning,terrorgram
11,Propaganda Documentary,47,1580,0.013945977686435702,0.0247676805666557,-0.5743484715059504,Violence Condoning,terrorgram
12,Propaganda Materials,10,1192,0.003082795067527892,0.018687414790089795,-1.8020136164898921,Violence Condoning,terrorgram
