feature,category,OR,ci_lower,ci_upper,p_value,note
Identity Fusion,764,0.5419920556201688,0.3878247857369098,0.7686171785983223,4.333175134648501e-4,
Identity Fusion,terrorgram,0.5636433354929539,0.37865384574773936,0.8049478484895736,0.0027798797074671125,
Identity Fusion,white-supremacist,0.19053321319809924,0.047293215633519604,0.4957940871476054,0.0041593271204960645,
Violence Condoning,764,2.0636907994048475,1.8520799656576754,2.3066109625902773,2.5307051022576493e-38,
Violence Condoning,terrorgram,0.20088913723495866,0.1582020380673334,0.25091726221686295,1.7721032846622808e-42,
Violence Condoning,white-supremacist,0.9391266246326543,0.7968915993886367,1.098407397011364,0.44266089441247103,
Existential Threat,764,0.303545229403734,0.19822818130953954,0.46784186301172465,4.6741270977457434e-8,
Existential Threat,terrorgram,0.31902869768955266,0.24004969339232393,0.4144638657504026,2.0937410997791957e-16,
Existential Threat,white-supremacist,0.26151464293958077,0.10370997433635235,0.5318030195944667,0.0010404477364648703,
Outgroup Othering,764,1.0226091800460282,0.9836592918669935,1.0633771310193254,0.26072078813163624,
Outgroup Othering,terrorgram,0.15342391896319887,0.13597442622447134,0.1724102195520175,1.5535671032181533e-210,
Outgroup Othering,white-supremacist,0.2978053642440436,0.2616400457675374,0.33741635458602953,7.7304221243956725e-78,
