category,year_month,n,k,prev,feature
764,2021-08-01,1,0,0,Identity Fusion
764,2021-09-01,1,0,0,Identity Fusion
764,2021-10-01,3,0,0,Identity Fusion
764,2021-11-01,25,0,0,Identity Fusion
764,2021-12-01,48,0,0,Identity Fusion
764,2022-01-01,164,0,0,Identity Fusion
764,2022-02-01,79,0,0,Identity Fusion
764,2022-03-01,25,0,0,Identity Fusion
764,2022-04-01,26982,18,6.6711140760507e-4,Identity Fusion
764,2022-05-01,12852,15,0.0011671335200746965,Identity Fusion
764,2022-06-01,54185,43,7.935775583648611e-4,Identity Fusion
764,2022-07-01,35853,22,6.136167126879202e-4,Identity Fusion
764,2022-08-01,18870,11,5.829358770535241e-4,Identity Fusion
764,2022-09-01,5685,3,5.277044854881266e-4,Identity Fusion
764,2022-10-01,3523,1,2.838489923360772e-4,Identity Fusion
764,2022-11-01,1746,5,0.0028636884306987398,Identity Fusion
764,2022-12-01,3920,5,0.0012755102040816326,Identity Fusion
764,2023-01-01,438,0,0,Identity Fusion
764,2023-02-01,1472,1,6.793478260869565e-4,Identity Fusion
764,2023-03-01,46564,28,6.013229104028864e-4,Identity Fusion
764,2023-04-01,43206,35,8.100726750914224e-4,Identity Fusion
764,2023-05-01,10,0,0,Identity Fusion
764,2023-06-01,44056,34,7.717450517523152e-4,Identity Fusion
terrorgram,2020-07-01,22,0,0,Identity Fusion
terrorgram,2020-08-01,265,3,0.011320754716981131,Identity Fusion
terrorgram,2020-09-01,174,1,0.005747126436781609,Identity Fusion
terrorgram,2020-10-01,25,0,0,Identity Fusion
terrorgram,2020-11-01,1,0,0,Identity Fusion
terrorgram,2020-12-01,1,0,0,Identity Fusion
terrorgram,2021-03-01,62,0,0,Identity Fusion
terrorgram,2021-04-01,5,0,0,Identity Fusion
terrorgram,2021-05-01,2,0,0,Identity Fusion
terrorgram,2021-06-01,1,0,0,Identity Fusion
terrorgram,2021-07-01,15,0,0,Identity Fusion
terrorgram,2021-08-01,1,0,0,Identity Fusion
terrorgram,2021-09-01,4,0,0,Identity Fusion
terrorgram,2021-10-01,6,0,0,Identity Fusion
terrorgram,2021-11-01,1,0,0,Identity Fusion
terrorgram,2021-12-01,15,0,0,Identity Fusion
terrorgram,2022-01-01,784,4,0.00510204081632653,Identity Fusion
terrorgram,2022-02-01,2058,13,0.006316812439261419,Identity Fusion
terrorgram,2022-03-01,329,4,0.0121580547112462,Identity Fusion
terrorgram,2022-04-01,763,8,0.010484927916120577,Identity Fusion
terrorgram,2022-05-01,545,10,0.01834862385321101,Identity Fusion
terrorgram,2022-06-01,492,6,0.012195121951219513,Identity Fusion
terrorgram,2022-07-01,652,13,0.019938650306748466,Identity Fusion
terrorgram,2022-08-01,1059,7,0.0066100094428706326,Identity Fusion
terrorgram,2022-09-01,9519,47,0.0049374934341842635,Identity Fusion
terrorgram,2022-10-01,6419,56,0.008724100327153763,Identity Fusion
terrorgram,2022-11-01,7813,79,0.010111352873416102,Identity Fusion
terrorgram,2022-12-01,14319,90,0.006285355122564425,Identity Fusion
